fight_date,fighter_a_name,fighter_b_name,fighter_a_id,fighter_b_id,result,title_fight,weight_class,a_age,b_age,a_height_cm,b_height_cm,a_reach_cm,b_reach_cm,a_stance,b_stance,a_slpm,b_slpm,a_str_acc,b_str_acc,a_sapm,b_sapm,a_str_def,b_str_def,a_td_avg,b_td_avg,a_td_acc,b_td_acc,a_td_def,b_td_def,a_sub_avg,b_sub_avg
2010-06-19,Chris Leben,Aaron Simpson,chris-leben,aaron-simpson,W,False,Middleweight,29,35,180.34,182.88,187.96,185.42,Southpaw,Orthodox,1.7857133333333333,1.7111133333333333,0.449,0.473,,,,,1.0714,2.0,0.469,0.777,,,0.2857,0.0
2010-06-19,Spencer Fisher,Dennis Siver,spencer-fisher,dennis-siver,L,False,Lightweight,34,31,170.18,167.64,177.8,177.8,Southpaw,Orthodox,2.283333333333333,1.4916666666666667,0.473,0.309,,,,,0.5833,0.5,0.137,0.238,,,0.6667,0.25
2010-06-19,Jamie Yager,Rich Attonito,jamie-yager,rich-attonito,L,False,Middleweight,26,33,185.42,177.8,185.0,182.88,Orthodox,Orthodox,,,,,,,,,,,,,,,,
2010-06-19,John Gunderson,Mark Holst,john-gunderson,mark-holst,W,False,Lightweight,31,24,175.26,182.88,175.26,190.0,Orthodox,Orthodox,0.06666666666666667,,0.03,,,,,,1.0,,1.0,,,,4.0,
2010-06-19,Seth Baczynski,Brad Tavares,seth-baczynski,brad-tavares,L,False,Middleweight,28,22,190.5,185.42,187.96,187.96,Orthodox,Orthodox,,,,,,,,,,,,,,,,
2010-06-19,Kyle Noke,Josh Bryant,kyle-noke,josh-bryant,W,False,Middleweight,30,30,185.42,177.8,193.04,185.42,Southpaw,Orthodox,,,,,,,,,,,,,,,,
2010-06-19,James Hammortree,Chris Camozzi,james-hammortree,chris-camozzi,L,False,Middleweight,26,23,190.5,187.96,191.77,193.04,Orthodox,Orthodox,,,,,,,,,,,,,,,,
2010-06-19,Travis Browne,James McSweeney,travis-browne,james-mcsweeney,W,False,Heavyweight,27,29,198.12,193.04,200.66,195.58,Orthodox,Switch,,3.8666666666666667,,0.61,,,,,,1.0,,0.5,,,,2.0
2010-07-03,Shane Carwin,Brock Lesnar,shane-carwin,brock-lesnar,L,True,Heavyweight,35,32,187.96,190.5,203.2,205.74,Orthodox,Orthodox,1.1833333333333333,2.316666666666667,0.52,0.793,,,,,0.25,2.25,0.125,0.833,,,0.0,0.25
2010-07-03,Chris Leben,Yoshihiro Akiyama,chris-leben,yoshihiro-akiyama,W,False,Middleweight,29,34,180.34,177.8,187.96,185.42,Southpaw,Orthodox,1.8533333333333333,3.6666666666666665,0.449,0.35,,,,,1.0,3.0,0.438,0.75,,,0.2667,0.0
2010-07-03,Chris Lytle,Matt Brown,chris-lytle,matt-brown,W,False,Welterweight,35,29,180.34,182.88,172.72,190.5,Orthodox,Orthodox,2.0625,1.8888866666666668,0.442,0.618,,,,,0.5625,0.3333,0.333,0.25,,,1.3125,1.5
2010-07-03,Krzysztof Soszynski,Stephan Bonnar,krzysztof-soszynski,stephan-bonnar,L,False,Light Heavyweight,32,33,185.42,193.04,195.58,198.12,Open Stance,Orthodox,1.72,1.9333333333333333,0.344,0.395,,,,,0.6,0.7273,0.24,0.149,,,0.6,1.0
2010-07-03,George Sotiropoulos,Kurt Pellegrino,george-sotiropoulos,kurt-pellegrino,W,False,Lightweight,32,31,177.8,172.72,180.34,177.8,Orthodox,Orthodox,1.2,1.4533333333333334,0.434,0.484,,,,,2.2,2.0,0.602,0.645,,,2.0,0.7
2010-07-03,Chris Tuchscherer,Brendan Schaub,chris-tuchscherer,brendan-schaub,L,False,Heavyweight,34,27,187.96,193.04,193.04,198.12,Orthodox,Orthodox,0.8,1.2333333333333334,0.185,0.47,,,,,0.5,0.0,0.07,0.0,,,0.5,0.0
2010-07-03,Seth Petruzelli,Ricardo Romero,seth-petruzelli,ricardo-romero,L,False,Light Heavyweight,30,32,182.88,182.88,193.04,193.04,Orthodox,Orthodox,1.1,,0.345,,,,,,0.5,,0.5,,,,0.5,
2010-07-03,Kendall Grove,Goran Reljic,kendall-grove,goran-reljic,W,False,Middleweight,27,26,198.12,190.5,200.66,205.74,Orthodox,Southpaw,1.3133333333333332,1.7666666666666666,0.425,0.46,,,,,0.3,0.5,0.3,0.5,,,1.6,1.5
2010-07-03,Gerald Harris,David Branch,gerald-harris,david-branch,W,False,Middleweight,30,28,180.34,185.42,195.58,198.12,Southpaw,Orthodox,1.2666666666666666,,0.35,,,,,,0.5,,0.25,,,,0.0,
2010-07-03,Daniel Roberts,Forrest Petz,daniel-roberts,forrest-petz,W,False,Welterweight,29,34,177.8,175.26,187.96,180.34,Southpaw,Orthodox,0.4666666666666667,2.1599999999999997,0.41,0.324,,,,,1.0,1.2,1.0,0.2,,,1.0,0.0
2010-07-03,Karlos Vemola,Jon Madsen,karlos-vemola,jon-madsen,L,False,Heavyweight,24,30,182.88,182.88,190.5,182.88,Orthodox,Orthodox,,1.9333333333333333,,0.29,,,,,,0.5,,0.5,,,,0.0
2010-08-01,Vladimir Matyushenko,Jon Jones,vladimir-matyushenko,jon-jones,L,False,Light Heavyweight,39,23,182.88,193.04,187.96,213.36,Orthodox,Orthodox,1.5333333333333334,2.2266666666666666,0.48,0.51,,,,,2.4286,2.4,0.506,0.552,,,0.1429,0.2
2010-08-01,Mark Munoz,Yushin Okami,mark-munoz,yushin-okami,L,False,Middleweight,32,29,182.88,187.96,182.88,190.5,Orthodox,Southpaw,1.8,2.08,0.465,0.425,,,,,1.0,1.7,0.32,0.399,,,0.5,0.8
2010-08-01,John Howard,Jake Ellenberger,john-howard,jake-ellenberger,L,False,Welterweight,27,25,170.18,175.26,180.34,180.34,Orthodox,Orthodox,1.0,1.4333333333333333,0.6,0.425,,,,,3.75,2.5,0.843,0.875,,,0.75,1.5
2010-08-01,Takanori Gomi,Tyson Griffin,takanori-gomi,tyson-griffin,W,False,Lightweight,31,26,170.18,167.64,177.8,172.72,Southpaw,Orthodox,1.3333333333333333,3.3666666666666667,0.17,0.378,,,,,0.0,1.2,0.0,0.408,,,0.0,0.9
